taxon_oid,Name,IMG_Phylum,IMG_Class,IMG_Order,IMG_Family,IMG_Genus,Institution,Host,Fraction,HostFraction
2643221729,Bacillus_sp._Root11,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221709,Bacillus_sp._Soil745,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2639762622,Bacillus_sp._CL25,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221846,Paenibacillus_sp._Soil766,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2522125133,Bacillus_flexus_27Col1.1E,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2639762528,Bacillus_sp._CL96,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221732,Bacillus_sp._Root239,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2563366514,Bacillus_sp._UNC41MFS5,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221814,Brevibacillus_sp._Leaf182,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221543,Paenibacillus_sp._Root52,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2561511073,Bacillus_sp._UNC125MFCrub1.1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221676,Paenibacillus_sp._Root444D2,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221959,Bacillus_sp._Leaf406,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221949,Bacillus_sp._Leaf13,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2517572206,Bacillus_sp._105MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2593339198,Paenibacillus_sp._UNCCL117,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221785,Paenibacillus_sp._Leaf72,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221730,Bacillus_sp._Root131,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221487,Bacillus_sp._212MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2563366509,Paenibacillus_sp._UNC451MF,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2639762621,Bacillus_sp._UNCCL13,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221710,Bacillus_sp._Soil768D1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2643221506,Paenibacillus_sp._CL06Col,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2528768222,Bacillus_sp._UNC438CL73TsuS30,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221923,Exiguobacterium_sp._Leaf187,Firmicutes,Bacilli,Bacillales,unclassified,Exiguobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2636416083,Bacillus_sp._491MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2563366516,Paenibacillus_sp._UNC217MF,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2639762634,Bacillus_sp._196MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221731,Bacillus_sp._Root147,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2593339131,Bacillus_sp._UNCCL81,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
