"","Name","Sample","Plate","P1","P2","P3","P4","P5","P6","FullAuc","ScaledAuc"
"64","133","A4","152001","1.41110360168715","-1.19191753372073","-0.000995534256623442","28.8620033832189","0.000790004449751742","2.32908485595224","138910.898057593","26.1501064874534"
"65","133","A5","152001","1.54824507909171","-1.72161965401623","-0.00816865991399051","9.81405773175149","0.00274339386330228","2.63423998761341","144826.93887378","27.9264237187641"
"66","133","A6","152001","0.662953813972316","-0.00410656708299316","-1.48073797930415","28.4478467755872","0.00173880403756503","2.71881543943099","147613.492804689","32.401113138298"
"67","133","A7","152001","0.92376128128404","-1.59739712500592","-0.0137855670107849","13.2078584371706","6.91486611920988e-05","2.85698167904634","147860.147043388","18.8768800479168"
"68","133","A8","152001","0.5595174088059","-9.72925095435077","-0.00044988374918869","24.312533406394","0.000348479769571249","2.76565926433943","165100.38593934","10.3023436216527"
"69","133","A9","152001","0.627605268716062","-0.00103299341449714","-9.38300175171069","22.4780982087404","0.00191285548244794","2.32370869150165","341602.527142025","30.4025905953718"
"70","133","A10","152001","0.398865115112399","-0.0101664362751908","-9.08261132635443","5.03538390945601","0.000352922848293322","2.21945521421523","156503.070417569","19.6638809358619"
"71","133","A11","152001","0.57056369028691","-0.0081307176814456","-3.08078958017452","22.2248240063973","0.000348082148560222","2.52066085750706","136522.401960376","28.3954537141731"
"72","133","A12","152001","0.493144098460883","-3.79443370685678","-0.0188513828051069","26.0695957012016","0.0011020737337389","2.83261610273861","163208.176671846","11.2456327803698"
"73","1877","A1","152001","0.985579079853031","-5.49404785581984","-0.791184079472856","11.4935226452657","0.287790793770146","6.19449992300953","3626434.13350384","9.08696365777282"
"74","1877","A2","152001","1.05376733559452","-5.18832082141887","-0.729060475125846","10.5318697884986","0.313683680499914","7.05548420480979","8990098.88930255","8.25616804554157"
"75","1877","A3","152001","1.01080693759387","-6.91759906269488","-0.588286690002118","13.686894360252","0.170291414746573","5.51047486275636","1258971.33673703","12.1938188410672"
"76","1877","A4","152001","1.01907509534576","-4.85351559175208","-0.909340110787227","9.59444530009163","0.352538369989146","6.83584374225889","9932327.80631672","7.20322660905069"
"77","1877","A5","152001","0.996608304823259","-4.67890272003594","-0.927862508643906","9.4317716949289","0.395086246011662","6.28228927360681","7729595.89588075","6.90276364541184"
"78","1877","A6","152001","1.04614968458134","-7.02113739201564","-0.602149414029095","12.2544252016229","0.251300768571305","6.00211759615091","1524960.95393678","9.07533856277978"
"79","1877","A7","152001","1.0437253541478","-5.365568419438","-0.838014574142882","10.6800651108022","0.271247107139437","6.66032088997269","6159652.71935135","8.75719465227283"
"80","1877","A8","152001","1.01095942583907","-4.75432598983346","-0.862232830107109","9.52419135085981","0.246575652521928","5.51891200091997","3495797.04144347","8.69644179856932"
"81","1877","A9","152001","1.25658407653429","-4.00939221252616","-0.470803007723844","7.72932522082109","0.249761659555693","4.30947436191917","771553.320858714","9.59251137413342"
"82","1877","A10","152001","1.0603847718521","-4.85543313335259","-1.03092518471832","8.66659084428923","0.368444498958845","7.01876205308442","2469407.9038731","6.44632245919375"
"83","1877","A11","152001","1.00734443827604","-5.04929463596505","-1.02783861956161","9.57982551644216","0.349397626918941","6.35231533774778","5700165.73622147","7.34921412621398"
"84","1877","A12","152001","0.974676248949952","-3.97320177693415","-1.25436939252626","8.4798261654065","0.459703240822722","6.47595831839754","7340479.93502789","6.63747384555363"
"85","1477","A1","152001","0.973169948282338","-5.85575923033024","-0.422836702501517","18.4073265618948","0.0971587638836943","6.43382894367553","7449861.05000431","20.254088114847"
"86","1477","A2","152001","0.969180582636345","-5.05383817894009","-0.476234086160915","19.1344494469012","0.0904890434441832","4.44736776770976","31851699.8951221","22.7196502100429"
"87","1477","A3","152001","0.95965084780579","-4.572254147907","-0.569815714462578","17.4977398282762","0.104555894452382","5.26682505216534","41487423.9395939","20.0216903774615"
"88","1477","A4","152001","0.964438149674597","-4.93505263598931","-0.584253789547556","18.5265340153768","0.0911312412010579","5.53686891341407","39554631.3663077","21.9286540283235"
"89","1477","A5","152001","0.943412169727924","-3.24528176228995","-0.942682283486109","15.676386045169","0.0994676314789575","4.98433674133031","41074824.7483521","20.0162514733813"
"90","1477","A6","152001","0.979866142736809","-6.03831672964564","-0.367247488618694","21.2804156125269","0.0789630967110398","6.00745196411787","16694336.1615941","24.2782802906426"
"91","1477","A7","152001","0.939611075364983","-4.37226225315032","-0.760786038710992","18.7512657158462","0.103356836642625","5.03392135235556","39610909.9445921","21.1824483653155"
"92","1477","A8","152001","0.960918697809173","-4.15961276173073","-0.572387707361435","18.5514940536989","0.111527030343446","6.37417804719363","24836407.0897059","21.0065767586185"
"93","1477","A9","152001","0.964350826078571","-5.30994044639401","-0.56132414702039","19.5880754025598","0.0993559536612247","5.36278599938308","18291843.932326","21.7359648341259"
"94","1477","A10","152001","0.935404347280126","-3.60849868303833","-0.903052028621142","18.3423686161251","0.124319283007338","4.86578952888282","46462339.8856637","20.2465647836278"
"95","1477","A11","152001","0.944475754820176","-4.14357196745039","-0.733346698541554","17.4639204867408","0.116118090573354","5.21581221741207","42466192.6994454","19.5041126299291"
"96","1477","A12","152001","0.970144623205809","-5.51471892317015","-0.486953734523328","18.8599259360338","0.100234465256533","5.55900405671154","16667030.5429609","20.9840045179067"
"1","Pta","A1","152245","0.972820316305811","-5.17907640031293","-0.534738826874028","21.6190779942364","0.0791085945336443","5.5357043859383","37295419.9482592","25.6839597934468"
"2","Pta","A2","152245","0.985700200590052","-6.32789934208076","-0.404933182924065","22.6129697634834","0.0629323983863712","6.04803213344781","34341880.4877375","27.502794880379"
"3","Pta","A3","152245","0.971089722759343","-5.85745487586624","-0.463612299131505","20.3347957012505","0.0561677679346427","6.04241622976632","14197207.7822782","26.7634316452872"
"4","Pta","A4","152245","0.965636199512394","-5.27565317199894","-0.609013333192032","22.2456956607567","0.0834153888221717","5.7315831244813","41666230.2060216","25.8445746491"
"5","Pta","A5","152245","0.944644882324879","-4.33638298346615","-0.676861412154665","21.3605336928161","0.0666764747460283","5.26952439387668","48242997.2465876","27.3797151390497"
